FID,District,County,Route,Direction,Accidents,Lanes,Access1,Limited,AccessNum,AccessType,RoadWidth,LaneWidth,InnerShoulderWidth,InnerShoulderTreatedWidth,OuterShoulderWidth,OuterShoulderTreatedWidth,DesignSpeedLimit,InnerMedianWidth,Terrain,Barrier,Surface
1,7,LA,5,N,0,1,2,1,1,buffer,72,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
2,7,LA,5,N,0,1,1,0,2,mix,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
3,7,LA,5,N,0,1,2,1,1,buffer,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
4,7,LA,5,N,1,1,2,1,1,buffer,55,11,10,10,13,10,70,15,Flat,Concrete Barrier,Concrete
5,7,LA,5,N,4,1,2,1,1,buffer,60,12,0,0,8,8,70,22,Flat,Concrete Barrier,Concrete
6,7,LA,5,N,10,1,2,1,2,mix,48,12,6,6,10,10,70,22,Flat,Concrete Barrier,Concrete
7,7,LA,5,N,21,1,2,1,2,mix,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
8,7,LA,5,N,1,1,2,1,1,buffer,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
9,7,LA,5,N,6,1,2,1,1,buffer,60,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
10,7,LA,5,N,0,1,2,1,1,buffer,60,12,0,0,8,8,70,22,Flat,Concrete Barrier,Concrete
11,7,LA,5,N,0,1,2,1,1,buffer,48,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
12,7,LA,5,N,5,1,2,1,3,mix,60,12,10,10,9,9,70,22,Flat,Concrete Barrier,Concrete
13,7,LA,5,N,13,1,2,1,2,mix,48,12,6,6,10,10,70,22,Flat,Concrete Barrier,Concrete
14,7,LA,5,N,15,1,2,1,3,mix,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
15,7,LA,5,N,22,1,2,1,2,mix,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
16,7,LA,5,N,90,1,2,1,3,mix,60,12,0,0,8,8,70,22,Flat,Concrete Barrier,Concrete
17,7,LA,5,N,0,1,2,1,1,buffer,60,12,0,0,8,8,70,22,Flat,Concrete Barrier,Concrete
18,7,LA,5,N,22,1,2,1,1,buffer,84,12,10,10,10,10,70,22,Flat,Concrete Barrier,Concrete
19,7,LA,5,N,35,1,2,1,2,mix,60,12,10,10,13,10,70,15,Flat,Concrete Barrier,Concrete
20,7,LA,5,N,82,1,2,1,1,buffer,72,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
21,7,LA,5,N,0,1,2,1,1,buffer,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
22,7,LA,5,N,9,1,2,1,1,buffer,55,11,10,10,13,10,70,15,Flat,Concrete Barrier,Concrete
23,7,LA,5,N,0,1,1,0,2,mix,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
24,7,LA,5,N,1,1,1,0,2,mix,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
25,7,LA,5,N,5,1,2,1,1,buffer,60,12,0,0,8,8,70,22,Flat,Concrete Barrier,Concrete
26,7,LA,5,N,5,1,1,0,2,mix,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
27,7,LA,5,N,20,1,2,1,2,mix,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
28,7,LA,5,N,27,1,2,1,1,buffer,84,12,10,10,9,9,70,22,Flat,Concrete Barrier,Concrete
29,7,LA,5,N,0,1,2,1,2,mix,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
30,7,LA,5,N,7,1,2,1,3,mix,60,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
31,7,LA,5,N,0,1,2,1,1,buffer,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
32,7,LA,5,N,4,1,2,1,1,buffer,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
33,7,LA,5,N,37,1,1,0,1,continuous,67,11.2,3,3,10,10,70,15,Flat,Concrete Barrier,Concrete
34,7,LA,5,N,81,1,2,1,1,buffer,48,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
35,7,LA,5,S,7,1,2,1,1,buffer,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
36,7,LA,5,S,0,1,2,1,1,buffer,69,17.3,0,0,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
